20110905093544 CRAWL RESUMED - Running
           timestamp  discovered      queued   downloaded       doc/s(avg)  KB/s(avg)   dl-failures   busy-thread   mem-use-KB  heap-size-KB   congestion   max-depth   avg-depth
2011-09-05T10:49:45Z        1911           2         1909          0(0.43)      0(17)             0             0        16173         25536            1           0           2
2011-09-05T10:50:05Z        1911           2         1909          0(0.43)      0(17)             0             0        16197         25536            1           0           2
2011-09-05T10:50:25Z        1911           2         1909          0(0.43)      0(17)             0             0        16310         25536            1           0           2
2011-09-05T10:50:45Z        1911           2         1909          0(0.42)      0(17)             0             0        16343         25536            1           0           2
2011-09-05T10:51:05Z        1911           2         1909          0(0.42)      0(17)             0             0        16563         25536            1           0           2
2011-09-05T10:51:25Z        1911           2         1909          0(0.42)      0(17)             0             0        16587         25536            1           0           2
2011-09-05T10:51:45Z        1911           2         1909          0(0.42)      0(17)             0             0        16696         25536            1           0           2
2011-09-05T10:52:05Z        1911           2         1909          0(0.42)      0(17)             0             0        16725         25536            1           0           2
2011-09-05T10:52:25Z        1911           2         1909          0(0.42)      0(16)             0             0        16835         25536            1           0           2
2011-09-05T10:52:45Z        1911           2         1909          0(0.41)      0(16)             0             0        16908         25536            1           0           2
2011-09-05T10:53:05Z        1911           2         1909          0(0.41)      0(16)             0             0        16971         25536            1           0           2
2011-09-05T10:53:25Z        1911           2         1909          0(0.41)      0(16)             0             0        17085         25536            1           0           2
2011-09-05T10:53:45Z        1911           2         1909          0(0.41)      0(16)             0             0        17104         25536            1           0           2
2011-09-05T10:54:05Z        1911           2         1909          0(0.41)      0(16)             0             0        17218         25536            1           0           2
2011-09-05T10:54:25Z        1911           2         1909           0(0.4)      0(16)             0             0        17248         25536            1           0           2
2011-09-05T10:54:45Z        1911           2         1909           0(0.4)      0(16)             0             0        17361         25536            1           0           2
2011-09-05T10:55:05Z        1911           2         1909           0(0.4)      0(16)             0             0        17420         25536            1           0           2
2011-09-05T10:55:25Z        1911           2         1909           0(0.4)      0(16)             0             0        17494         25536            1           0           2
2011-09-05T10:55:45Z        1911           2         1909           0(0.4)      0(16)             0             0        17594         25536            1           0           2
2011-09-05T10:56:05Z        1911           2         1909           0(0.4)      0(16)             0             0        17650         25536            1           0           2
2011-09-05T10:56:25Z        1911           2         1909          0(0.39)      0(16)             0             0        17767         25536            1           0           2
2011-09-05T10:56:45Z        1911           2         1909          0(0.39)      0(16)             0             0        17796         25536            1           0           2
2011-09-05T10:57:05Z        1911           2         1909          0(0.39)      0(16)             0             0        18678         25536            1           0           2
2011-09-05T10:57:25Z        1911           2         1909          0(0.39)      0(15)             0             0        18747         25536            1           0           2
2011-09-05T10:57:45Z        1911           2         1909          0(0.39)      0(15)             0             0        18859         25536            1           0           2
2011-09-05T10:58:05Z        1911           2         1909          0(0.39)      0(15)             0             0        18917         25536            1           0           2
2011-09-05T10:58:25Z        1911           2         1909          0(0.38)      0(15)             0             0        18996         25536            1           0           2
2011-09-05T10:58:45Z        1911           2         1909          0(0.38)      0(15)             0             0        19071         25536            1           0           2
2011-09-05T10:59:05Z        1911           2         1909          0(0.38)      0(15)             0             0        19133         25536            1           0           2
2011-09-05T10:59:25Z        1911           2         1909          0(0.38)      0(15)             0             0        19220         25536            1           0           2
2011-09-05T10:59:45Z        1911           2         1909          0(0.38)      0(15)             0             0        19262         25536            1           0           2
2011-09-05T11:00:05Z        1911           2         1909          0(0.38)      0(15)             0             0        19376         25536            1           0           2
2011-09-05T11:00:25Z        1911           2         1909          0(0.38)      0(15)             0             0        19413         25536            1           0           2
2011-09-05T11:00:45Z        1911           2         1909          0(0.37)      0(15)             0             0        19524         25536            1           0           2
2011-09-05T11:01:05Z        1911           2         1909          0(0.37)      0(15)             0             0        19591         25536            1           0           2
2011-09-05T11:01:25Z        1911           2         1909          0(0.37)      0(15)             0             0        19657         25536            1           0           2
2011-09-05T11:01:45Z        1911           2         1909          0(0.37)      0(15)             0             0        15956         25600            1           0           2
2011-09-05T11:02:05Z        1911           2         1909          0(0.37)      0(15)             0             0        15971         25600            1           0           2
